"version","profile","n","lnorm_lnorm_present","lnorm_lnorm_aicc","lnorm_lnorm_wt"
"1.0.6","lenient",5,TRUE,-32.2729690633645,0.999999999999769
"1.0.6","lenient",6,TRUE,Inf,0
"1.0.6","lenient",7,TRUE,116.164509678085,9.41387082450889e-15
"1.0.6","native",5,TRUE,-32.2729690633645,0.999999999999769
"1.0.6","native",6,TRUE,Inf,0
"1.0.6","native",7,TRUE,116.164509678085,9.41387082450889e-15
"2.0.0","lenient",5,TRUE,-32.2729690633329,0.999999999999769
"2.0.0","lenient",6,TRUE,Inf,0
"2.0.0","lenient",7,TRUE,116.184501133066,9.3202410654866e-15
"2.0.0","native",5,TRUE,-32.0363834484248,0.99999999999974
"2.0.0","native",6,TRUE,Inf,0
"2.0.0","native",7,TRUE,116.165062700308,9.411268144487e-15
"2.6.0","lenient",5,TRUE,-32.2729690633329,0.999999999999769
"2.6.0","lenient",6,TRUE,Inf,0
"2.6.0","lenient",7,TRUE,116.184501133066,9.3202410654866e-15
"2.6.0","native",5,TRUE,-32.0363834484248,0.99999999999974
"2.6.0","native",6,TRUE,Inf,0
"2.6.0","native",7,TRUE,116.165062700308,9.411268144487e-15
