"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"gamma",5,0.01,2000,4,0.3155,37.6578394424803,4.38369329612324,189.158338086414,418.28716643647
"gamma",5,0.05,2000,4,0.451,3.91692679154245,0.101999218642471,17.3952992853606,44.8846189450356
"gamma",5,0.1,2000,4,0.565,1.15523016578296,-0.413675339876333,5.49128965822535,17.2532035337634
"gamma",5,0.2,2000,4,0.72,0.0317572787894668,-0.657382565727197,1.59463959158634,6.79647576752269
"gamma",6,0.01,2000,4,0.6715,9.37292297133139,0.889959561124741,64.6044767973142,187.785164424952
"gamma",6,0.05,2000,4,0.7025,2.65338906900403,0.134033582682637,12.1326592755725,27.3059506847033
"gamma",6,0.1,2000,4,0.7305,1.20163523148992,-0.19445102889159,4.97384338010024,12.2625683229478
"gamma",6,0.2,2000,4,0.772,0.354936253438069,-0.376984737563329,1.87616515734239,5.67201713365789
"gamma",7,0.01,2000,4,0.681,7.89314096339975,0.699303075290504,50.0104403687657,156.627157500998
"gamma",7,0.05,2000,4,0.712,2.37351184144449,0.0685939838519272,10.1590411172413,23.533075971591
"gamma",7,0.1,2000,4,0.7435,1.06622383008475,-0.182243468431066,4.30275217603134,10.9547508043621
"gamma",7,0.2,2000,4,0.7895,0.363234995806416,-0.376807038530026,1.6669879129531,5.13335839653975
"gamma",8,0.01,2000,4,0.704,7.12836594702255,0.546058859893971,41.896102786646,131.301393910222
"gamma",8,0.05,2000,4,0.7325,2.1958053062998,0.0371883236425841,8.60469166051251,20.8938141475997
"gamma",8,0.1,2000,4,0.7515,1.03915021761901,-0.19226466470601,3.87091021452396,9.89450525713621
"gamma",8,0.2,2000,4,0.788,0.332721345546941,-0.362304763921855,1.57714499531377,4.7140285437014
"gamma",10,0.01,2000,4,0.7215,5.66927297865313,0.206645728527781,31.3171432452868,96.1153784541678
"gamma",10,0.05,2000,4,0.7475,1.74180226536367,-0.0896241274535052,6.98194827337861,16.4292734934934
"gamma",10,0.1,2000,4,0.7695,0.850419478344463,-0.243844742481627,3.29067061016746,8.10008649573783
"gamma",10,0.2,2000,4,0.8155,0.288350001469542,-0.340041287021097,1.34517979309722,4.03727394680242
