"dataset","gamma","lgumbel","llogis","lnorm","lnorm_lnorm","weibull","source_dist","source_wt"
"anzg_alpha_cypermethrin_fresh",0.014,0.253,0.288,0.351,0.002,0.091,"lnorm",0.351
"anzg_aluminium_marine",0.024,0.187,0.292,0.395,0.003,0.099,"lnorm",0.395
"anzg_ametryn_fresh",0.015,0.291,0.337,0.277,0,0.08,"llogis",0.337
"anzg_ammonia_fresh",0,0.068,0.559,0.355,0.016,0.001,"llogis",0.559
"anzg_bisphenol_a_fresh",0.165,0.085,0.154,0.319,0.008,0.27,"lnorm",0.319
"anzg_bisphenol_a_marine",0.122,0.064,0.315,0.24,0,0.259,"llogis",0.315
"anzg_boron_fresh",0.022,0.14,0.391,0.402,0.005,0.04,"lnorm",0.402
"anzg_chlorine_marine",0,0.081,0.606,0.288,0.022,0.003,"llogis",0.606
"anzg_chromium_III_fresh",0.469,0.009,0.055,0.072,0.014,0.381,"gamma",0.469
"anzg_copper_marine",0,0.055,0.537,0.388,0.018,0.001,"llogis",0.537
"anzg_dioxins_fresh",0.343,0.073,0.117,0.164,0,0.303,"gamma",0.343
"anzg_diuron_fresh",0.008,0.473,0.176,0.282,0.009,0.052,"lgumbel",0.473
"anzg_diuron_marine",0.191,0.007,0.08,0.072,0.003,0.647,"weibull",0.647
"anzg_fipronil_fresh",0.007,0.623,0.205,0.153,0.001,0.01,"lgumbel",0.623
"anzg_fluoride_fresh",0.316,0.035,0.085,0.21,0.029,0.324,"weibull",0.324
"anzg_glyphosate_fresh",0.069,0.341,0.154,0.31,0.009,0.118,"lgumbel",0.341
"anzg_iron_fresh",0.063,0.231,0.183,0.381,0.019,0.123,"lnorm",0.381
"anzg_iron_marine",0,0.076,0.002,0,0.922,0,"lnorm_lnorm",0.922
"anzg_mancozeb_fresh",0.145,0.15,0.218,0.267,0,0.22,"lnorm",0.267
"anzg_manganese_marine",0,0.658,0.039,0.015,0.288,0,"lgumbel",0.658
"anzg_mcpa_fresh",0.001,0.594,0.169,0.211,0.005,0.02,"lgumbel",0.594
"anzg_metolachlor_fresh",0.176,0.024,0.135,0.223,0.095,0.348,"weibull",0.348
"anzg_metsulfuron_methyl_fresh",0.03,0.489,0.168,0.227,0,0.087,"lgumbel",0.489
"anzg_nickel_marine",0,0.407,0.212,0.342,0.029,0.009,"lgumbel",0.407
"anzg_nitrate_hard_fresh",0.049,0.371,0.162,0.238,0.11,0.069,"lgumbel",0.371
"anzg_nitrate_moderate_fresh",0.058,0.415,0.209,0.253,0,0.064,"lgumbel",0.415
"anzg_nitrate_soft_fresh",0.007,0.642,0.099,0.151,0.078,0.022,"lgumbel",0.642
"anzg_paraquat_fresh",0.163,0.15,0.215,0.277,0.001,0.195,"lnorm",0.277
"anzg_perfluorooctane_sulfonate_pfos_fresh",0.03,0.006,0.163,0.359,0.022,0.419,"weibull",0.419
"anzg_picloram_fresh",0.346,0.062,0.098,0.171,0.003,0.32,"gamma",0.346
"anzg_simazine_fresh",0.077,0.261,0.129,0.316,0.106,0.111,"lnorm",0.316
"anzg_simazine_marine",0.001,0.723,0.128,0.133,0.004,0.011,"lgumbel",0.723
"anzg_sulfometuron_methyl_fresh",0.242,0.169,0.15,0.213,0,0.225,"gamma",0.242
"anzg_zinc_marine",0.006,0.339,0.335,0.284,0.01,0.026,"lgumbel",0.339
"ccme_boron",0.357,0.013,0.066,0.177,0.03,0.357,"gamma",0.357
"ccme_cadmium",0,0.562,0.034,0.002,0.402,0,"lgumbel",0.562
"ccme_chloride",0.266,0.001,0.242,0.143,0.044,0.305,"weibull",0.305
"ccme_endosulfan",0.217,0.188,0.115,0.235,0.034,0.212,"lnorm",0.235
"ccme_glyphosate",0.016,0.581,0.115,0.227,0.025,0.036,"lgumbel",0.581
"ccme_silver",0.084,0.329,0.205,0.268,0,0.113,"lgumbel",0.329
"ccme_uranium",0.124,0.121,0.224,0.311,0.001,0.219,"lnorm",0.311
