"dataset","nrow","distribution","n_sims","q10","q25","q50","q75","q90"
"anzg_alpha_cypermethrin_fresh",5,"gamma",500,5.58489137699857e-16,3.73043260164645e-15,1.44642883858039e-14,4.56945432721694e-14,7.67847954380408e-14
"anzg_alpha_cypermethrin_fresh",5,"lgumbel",500,7.11778808360281e-16,4.92143719762342e-15,2.10604139719495e-14,4.9854221628123e-14,7.66542759858032e-14
"anzg_alpha_cypermethrin_fresh",5,"llogis",500,6.81343562125893e-16,5.12239932937357e-15,1.75857040929354e-14,4.65728336505525e-14,6.89857804486188e-14
"anzg_alpha_cypermethrin_fresh",5,"lnorm",500,8.6656325322749e-16,6.4522146960879e-15,2.105387073798e-14,5.29821980705679e-14,7.85586936083921e-14
"anzg_alpha_cypermethrin_fresh",5,"lnorm_lnorm",500,0.999999999999658,0.999999999999748,0.999999999999893,0.999999999999968,0.999999999999996
"anzg_alpha_cypermethrin_fresh",5,"weibull",500,6.86014220061693e-16,4.99238750218714e-15,1.88823834753777e-14,4.90782910705044e-14,7.92169213739678e-14
"anzg_alpha_cypermethrin_fresh",6,"gamma",500,0.0368114183958603,0.0811107109658703,0.169218622491859,0.27532421467409,0.35108453998254
"anzg_alpha_cypermethrin_fresh",6,"lgumbel",500,0.060473623013038,0.106346136817769,0.211134855052993,0.334666918728536,0.46213128515689
"anzg_alpha_cypermethrin_fresh",6,"llogis",500,0.13049844388427,0.151212230293847,0.177046216450496,0.201560033761928,0.228797257379193
"anzg_alpha_cypermethrin_fresh",6,"lnorm",500,0.140630802152245,0.177989283368476,0.223109413285819,0.240897867139746,0.253692691603902
"anzg_alpha_cypermethrin_fresh",6,"lnorm_lnorm",500,0,0,0,0,0
"anzg_alpha_cypermethrin_fresh",6,"weibull",500,0.0833803864341393,0.129916703972587,0.198794811458954,0.263294568548924,0.298277679148796
"anzg_alpha_cypermethrin_fresh",7,"gamma",500,0.0192213040614485,0.0553550210837664,0.152389461695705,0.269503997148593,0.366827292586502
"anzg_alpha_cypermethrin_fresh",7,"lgumbel",500,0.0505020691734767,0.105896982447391,0.202765131222628,0.346208419429257,0.509188915451624
"anzg_alpha_cypermethrin_fresh",7,"llogis",500,0.11908625271789,0.149077929946009,0.177358436000961,0.209636258302737,0.236853056297154
"anzg_alpha_cypermethrin_fresh",7,"lnorm",500,0.131474186849073,0.175375221148852,0.226324188472144,0.249235719675362,0.266786006524358
"anzg_alpha_cypermethrin_fresh",7,"lnorm_lnorm",500,6.27619825102298e-15,8.64473916879092e-15,1.89482270889805e-14,8.40955085706966e-14,4.14015425218625e-13
"anzg_alpha_cypermethrin_fresh",7,"weibull",500,0.0588400527692868,0.121167079863529,0.193809521562299,0.263922948387339,0.303209450719658
"anzg_alpha_cypermethrin_fresh",8,"gamma",500,0.0146221012076327,0.0408991763826009,0.137863644062051,0.270213073412667,0.39249118756689
"anzg_alpha_cypermethrin_fresh",8,"lgumbel",500,0.0362134403574574,0.0888992788046833,0.204450141777738,0.356108856581546,0.522645409389274
"anzg_alpha_cypermethrin_fresh",8,"llogis",500,0.114197202767833,0.146246504948865,0.179944216764423,0.21387817549058,0.245765758820752
"anzg_alpha_cypermethrin_fresh",8,"lnorm",500,0.116335492531812,0.177590541549356,0.233231104472324,0.260117090649491,0.278185405976413
"anzg_alpha_cypermethrin_fresh",8,"lnorm_lnorm",500,1.67885081586238e-08,2.26927165495292e-08,5.19311933071023e-08,1.8551015350449e-07,1.04279962796986e-06
"anzg_alpha_cypermethrin_fresh",8,"weibull",500,0.0550010047191647,0.107458289841553,0.19627534384488,0.272514291015878,0.315974133136405
"anzg_alpha_cypermethrin_fresh",10,"gamma",500,0.00390149547066978,0.0201254092607824,0.0926841030671718,0.237467943406179,0.373370841166713
"anzg_alpha_cypermethrin_fresh",10,"lgumbel",500,0.0303619431591457,0.0808337533881412,0.196884671945955,0.376129532295735,0.562785213846679
"anzg_alpha_cypermethrin_fresh",10,"llogis",500,0.114934420688345,0.14945968978166,0.187593659483807,0.231470832210586,0.291162770275928
"anzg_alpha_cypermethrin_fresh",10,"lnorm",500,0.116291079170981,0.182425729420857,0.245179437630831,0.283098363485498,0.303398750795815
"anzg_alpha_cypermethrin_fresh",10,"lnorm_lnorm",500,2.30012530833909e-05,3.06189200356372e-05,6.5743940863289e-05,0.000223923076439674,0.00113927889289171
"anzg_alpha_cypermethrin_fresh",10,"weibull",500,0.0346777221626198,0.0834441267942794,0.183158971578816,0.276891558622974,0.321151323069511
"anzg_alpha_cypermethrin_fresh",16,"gamma",500,0.000255094651764987,0.00229339187263313,0.0266468111142152,0.131175179027086,0.3135927759097
"anzg_alpha_cypermethrin_fresh",16,"lgumbel",500,0.0137162627806997,0.0569091521137614,0.167209075931857,0.377680495952867,0.593922109911269
"anzg_alpha_cypermethrin_fresh",16,"llogis",500,0.0948075495698059,0.144242580819305,0.202859934058896,0.268945582470396,0.357397995348011
"anzg_alpha_cypermethrin_fresh",16,"lnorm",500,0.0998629259667328,0.182794180380541,0.289788683636742,0.345488389221924,0.373402013366656
"anzg_alpha_cypermethrin_fresh",16,"lnorm_lnorm",500,0.00175284968257846,0.00235001793223132,0.00488742889230284,0.0126763622319321,0.0437248207104002
"anzg_alpha_cypermethrin_fresh",16,"weibull",500,0.0100212057334698,0.0423683068507106,0.142900696177061,0.264659423834228,0.34519305050582
