"name","step","seconds","bytes"
"sample_step_42_ccme_uranium_11_TRUE","sample",1.255,12450
"sample_step_42_ccme_silver_5_TRUE","sample",1.256,11256
"sample_step_42_anzg_picloram_fresh_14_TRUE","sample",1.257,12749
"sample_step_42_anzg_chlorine_marine_5_TRUE","sample",1.259,11246
"sample_step_42_anzg_ammonia_fresh_2_TRUE","sample",0.022,12716
"sample_step_42_anzg_glyphosate_fresh_11_TRUE","sample",0.022,12097
"sample_step_42_anzg_nitrate_soft_fresh_13_TRUE","sample",0.024,11436
"sample_step_42_anzg_boron_fresh_15_TRUE","sample",0.022,11346
"sample_step_42_anzg_mancozeb_fresh_3_TRUE","sample",0.023,11739
"sample_step_42_anzg_mancozeb_fresh_15_TRUE","sample",0.019,12749
"sample_step_42_anzg_mcpa_fresh_1_TRUE","sample",0.021,12724
"sample_step_42_anzg_dioxins_fresh_3_TRUE","sample",0.025,12556
"sample_step_42_anzg_glyphosate_fresh_9_TRUE","sample",0.024,12754
"sample_step_42_ccme_silver_12_TRUE","sample",0.019,12322
"sample_step_42_ccme_chloride_12_TRUE","sample",0.027,12719
"sample_step_42_anzg_sulfometuron_methyl_fresh_6_TRUE","sample",0.02,11264
"sample_step_42_anzg_manganese_marine_13_TRUE","sample",0.021,11293
"sample_step_42_anzg_nickel_marine_6_TRUE","sample",0.019,11345
"sample_step_42_ccme_boron_10_TRUE","sample",0.021,11762
"sample_step_42_anzg_ammonia_fresh_10_TRUE","sample",0.023,11475
"sample_step_42_ccme_silver_1_TRUE","sample",0.032,11297
"sample_step_42_anzg_diuron_marine_13_TRUE","sample",0.027,12744
"sample_step_42_anzg_mancozeb_fresh_7_TRUE","sample",0.018,12599
"sample_step_42_anzg_mancozeb_fresh_11_TRUE","sample",0.018,11818
"sample_step_42_anzg_nickel_marine_14_TRUE","sample",0.022,11180
"sample_step_42_anzg_ammonia_fresh_6_TRUE","sample",0.021,11424
"sample_step_42_anzg_nitrate_soft_fresh_9_TRUE","sample",0.019,12764
"sample_step_42_ccme_cadmium_3_TRUE","sample",0.02,11912
"sample_step_42_anzg_aluminium_marine_10_TRUE","sample",0.019,11030
"sample_step_42_anzg_simazine_marine_8_TRUE","sample",0.026,11538
"sample_step_42_anzg_copper_marine_1_TRUE","sample",0.035,12262
"sample_step_42_anzg_paraquat_fresh_6_TRUE","sample",0.023,12517
"sample_step_42_anzg_metolachlor_fresh_15_TRUE","sample",0.022,11610
"sample_step_42_anzg_aluminium_marine_3_TRUE","sample",0.018,12750
"sample_step_42_anzg_simazine_marine_13_TRUE","sample",0.032,11236
"sample_step_42_anzg_ammonia_fresh_14_TRUE","sample",0.034,12744
"sample_step_42_anzg_nitrate_soft_fresh_5_TRUE","sample",0.024,12764
"sample_step_42_ccme_chloride_3_TRUE","sample",0.019,12381
"sample_step_42_ccme_cadmium_7_TRUE","sample",0.019,12289
"sample_step_42_anzg_iron_fresh_12_TRUE","sample",0.033,11085
"sample_step_42_anzg_diuron_fresh_2_TRUE","sample",0.036,12734
"sample_step_42_anzg_glyphosate_fresh_1_TRUE","sample",0.02,12754
"sample_step_42_anzg_metolachlor_fresh_8_TRUE","sample",0.022,11424
"sample_step_42_anzg_metsulfuron_methyl_fresh_12_TRUE","sample",0.021,11632
"sample_step_42_anzg_simazine_marine_4_TRUE","sample",0.033,12229
"sample_step_42_anzg_copper_marine_5_TRUE","sample",0.029,12530
"sample_step_42_anzg_copper_marine_13_TRUE","sample",0.019,12044
"sample_step_42_anzg_simazine_fresh_3_TRUE","sample",0.025,11666
"sample_step_42_ccme_endosulfan_5_TRUE","sample",0.021,12719
"sample_step_42_anzg_aluminium_marine_7_TRUE","sample",0.032,12236
"sample_step_42_anzg_simazine_fresh_15_TRUE","sample",0.033,11628
"sample_step_42_ccme_chloride_7_TRUE","sample",0.022,12712
"sample_step_42_anzg_alpha_cypermethrin_fresh_11_TRUE","sample",0.02,12590
"sample_step_42_anzg_chlorine_marine_11_TRUE","sample",0.02,12753
"sample_step_42_anzg_ametryn_fresh_6_TRUE","sample",0.035,12739
"sample_step_42_anzg_glyphosate_fresh_15_TRUE","sample",0.03,11201
"sample_step_42_anzg_diuron_fresh_6_TRUE","sample",0.019,12729
"sample_step_42_anzg_picloram_fresh_10_TRUE","sample",0.02,12749
"sample_step_42_ccme_glyphosate_1_TRUE","sample",0.02,12519
"sample_step_42_anzg_metolachlor_fresh_4_TRUE","sample",0.025,12751
"sample_step_42_anzg_boron_fresh_3_TRUE","sample",0.019,12450
"sample_step_42_anzg_fipronil_fresh_5_TRUE","sample",0.032,11149
"sample_step_42_anzg_picloram_fresh_4_TRUE","sample",0.037,11481
"sample_step_42_anzg_metsulfuron_methyl_fresh_6_TRUE","sample",0.02,12789
"sample_step_42_anzg_copper_marine_9_TRUE","sample",0.022,12104
"sample_step_42_ccme_endosulfan_9_TRUE","sample",0.021,12724
"sample_step_42_anzg_manganese_marine_5_TRUE","sample",0.087,11232
"sample_step_42_ccme_boron_14_TRUE","sample",0.027,12635
"sample_step_42_anzg_simazine_fresh_7_TRUE","sample",0.023,11170
"sample_step_42_anzg_iron_marine_12_TRUE","sample",0.021,11364
"sample_step_42_ccme_cadmium_15_TRUE","sample",0.019,11438
"sample_step_42_anzg_simazine_fresh_11_TRUE","sample",0.029,11913
"sample_step_42_anzg_paraquat_fresh_13_TRUE","sample",0.025,12286
"sample_step_42_anzg_nitrate_moderate_fresh_12_TRUE","sample",0.022,11487
"sample_step_42_anzg_ametryn_fresh_2_TRUE","sample",0.024,12277
"sample_step_42_anzg_iron_marine_3_TRUE","sample",0.018,12246
"sample_step_42_ccme_boron_7_TRUE","sample",0.018,11923
"sample_step_42_ccme_glyphosate_15_TRUE","sample",0.025,12729
"sample_step_42_anzg_diuron_marine_4_TRUE","sample",0.024,11180
"sample_step_42_anzg_fluoride_fresh_13_TRUE","sample",0.019,12741
"sample_step_42_anzg_bisphenol_a_marine_1_TRUE","sample",0.032,12348
"sample_step_42_anzg_metsulfuron_methyl_fresh_2_TRUE","sample",0.019,12794
"sample_step_42_anzg_fluoride_fresh_7_TRUE","sample",0.023,11550
"sample_step_42_anzg_paraquat_fresh_2_TRUE","sample",0.023,11673
"sample_step_42_anzg_fipronil_fresh_9_TRUE","sample",0.018,11532
"sample_step_42_anzg_metolachlor_fresh_11_TRUE","sample",0.023,11360
"sample_step_42_anzg_boron_fresh_7_TRUE","sample",0.018,11480
"sample_step_42_anzg_aluminium_marine_14_TRUE","sample",0.037,12759
"sample_step_42_anzg_perfluorooctane_sulfonate_pfos_fresh_4_TRUE","sample",0.024,12799
"sample_step_42_anzg_bisphenol_a_marine_15_TRUE","sample",0.021,12296
"sample_step_42_anzg_manganese_marine_9_TRUE","sample",0.03,11841
"sample_step_42_anzg_dioxins_fresh_13_TRUE","sample",0.018,11993
"sample_step_42_anzg_mcpa_fresh_4_TRUE","sample",0.031,11296
"sample_step_42_anzg_sulfometuron_methyl_fresh_15_TRUE","sample",0.019,11828
"sample_step_42_ccme_cadmium_11_TRUE","sample",0.021,12047
"sample_step_42_ccme_boron_3_TRUE","sample",0.024,12688
"sample_step_42_anzg_iron_marine_7_TRUE","sample",0.034,11003
"sample_step_42_anzg_fluoride_fresh_320_TRUE","sample",0.796,11353
"sample_step_42_anzg_simazine_fresh_450_TRUE","sample",0.603,12528
"sample_step_42_ccme_endosulfan_274_TRUE","sample",0.585,12734
"sample_step_42_anzg_iron_marine_384_TRUE","sample",0.585,12599
"sample_step_42_ccme_glyphosate_246_TRUE","sample",0.019,11369
"sample_step_42_anzg_ammonia_fresh_138_TRUE","sample",0.019,12215
"sample_step_42_anzg_perfluorooctane_sulfonate_pfos_fresh_331_TRUE","sample",0.02,12867
"sample_step_42_ccme_endosulfan_137_TRUE","sample",0.019,11398
"sample_step_42_anzg_iron_marine_202_TRUE","sample",0.021,11185
"sample_step_42_anzg_iron_fresh_443_TRUE","sample",0.02,11919
"sample_step_42_ccme_glyphosate_189_TRUE","sample",0.019,11643
"sample_step_42_ccme_silver_70_TRUE","sample",0.022,11167
"sample_step_42_anzg_simazine_fresh_350_TRUE","sample",0.018,12323
"sample_step_42_anzg_fluoride_fresh_420_TRUE","sample",0.02,11450
"sample_step_42_ccme_endosulfan_374_TRUE","sample",0.026,12734
"sample_step_42_anzg_bisphenol_a_marine_66_TRUE","sample",0.018,11641
"sample_step_42_anzg_iron_marine_484_TRUE","sample",0.022,12535
"sample_step_42_anzg_ammonia_fresh_238_TRUE","sample",0.021,11995
"sample_step_42_ccme_glyphosate_346_TRUE","sample",0.018,11378
"sample_step_42_anzg_manganese_marine_247_TRUE","sample",0.026,12112
"sample_step_42_ccme_endosulfan_237_TRUE","sample",0.026,11423
"sample_step_42_ccme_glyphosate_289_TRUE","sample",0.023,12034
"sample_step_42_anzg_simazine_marine_466_TRUE","sample",0.018,12759
