"source_dist","nrow","distribution","mean_weight","n_datasets"
"gamma",5,"gamma",0.0264992422061807,4
"gamma",5,"lgumbel",0.00693951023342151,4
"gamma",5,"llogis",0.00741876978009873,4
"gamma",5,"lnorm",0.00732233517419854,4
"gamma",5,"lnorm_lnorm",0.933999999999743,4
"gamma",5,"weibull",0.0178201426063576,4
"gamma",6,"gamma",0.29029907382649,4
"gamma",6,"lgumbel",0.136904894269115,4
"gamma",6,"llogis",0.149779804324428,4
"gamma",6,"lnorm",0.175279037994327,4
"gamma",6,"lnorm_lnorm",0,4
"gamma",6,"weibull",0.247737189585641,4
"gamma",7,"gamma",0.308191847769747,4
"gamma",7,"lgumbel",0.119142166471324,4
"gamma",7,"llogis",0.145015897531051,4
"gamma",7,"lnorm",0.16858692151999,4
"gamma",7,"lnorm_lnorm",4.69257558949939e-11,4
"gamma",7,"weibull",0.259063166660962,4
"gamma",8,"gamma",0.325441470977758,4
"gamma",8,"lgumbel",0.103778206171033,4
"gamma",8,"llogis",0.139901007542287,4
"gamma",8,"lnorm",0.162641665296975,4
"gamma",8,"lnorm_lnorm",7.46419015344428e-06,4
"gamma",8,"weibull",0.268230185821793,4
"gamma",10,"gamma",0.35259696795283,4
"gamma",10,"lgumbel",0.0816937599804418,4
"gamma",10,"llogis",0.129797298319231,4
"gamma",10,"lnorm",0.151226248337995,4
"gamma",10,"lnorm_lnorm",0.00366397290084012,4
"gamma",10,"weibull",0.281021752508662,4
"gamma",16,"gamma",0.397590556082591,4
"gamma",16,"lgumbel",0.037537752991085,4
"gamma",16,"llogis",0.100669266910424,4
"gamma",16,"lnorm",0.117974074658544,4
"gamma",16,"lnorm_lnorm",0.0452423011207413,4
"gamma",16,"weibull",0.300986048236615,4
"gamma",26,"gamma",0.448240556601121,4
"gamma",26,"lgumbel",0.00889725406954956,4
"gamma",26,"llogis",0.064657467845041,4
"gamma",26,"lnorm",0.0756640086783937,4
"gamma",26,"lnorm_lnorm",0.0943713219498004,4
"gamma",26,"weibull",0.308169390856094,4
"lgumbel",5,"gamma",0.00478222771130213,15
"lgumbel",5,"lgumbel",0.0158097719145196,15
"lgumbel",5,"llogis",0.00649574520652472,15
"lgumbel",5,"lnorm",0.00656959913029861,15
"lgumbel",5,"lnorm_lnorm",0.960666666666426,15
"lgumbel",5,"weibull",0.00567598937092939,15
"lgumbel",6,"gamma",0.142728572256133,15
"lgumbel",6,"lgumbel",0.307690355674152,15
"lgumbel",6,"llogis",0.182341827887223,15
"lgumbel",6,"lnorm",0.209643380033627,15
"lgumbel",6,"lnorm_lnorm",0,15
"lgumbel",6,"weibull",0.157595864148866,15
"lgumbel",7,"gamma",0.12748467233158,15
"lgumbel",7,"lgumbel",0.332803697222132,15
"lgumbel",7,"llogis",0.184298890043507,15
"lgumbel",7,"lnorm",0.211221494996927,15
"lgumbel",7,"lnorm_lnorm",2.21357867250459e-11,15
"lgumbel",7,"weibull",0.144191245383718,15
"lgumbel",8,"gamma",0.112957174040167,15
"lgumbel",8,"lgumbel",0.357806616410154,15
"lgumbel",8,"llogis",0.185988981493257,15
"lgumbel",8,"lnorm",0.211909728009797,15
"lgumbel",8,"lnorm_lnorm",0.000155977444744468,15
"lgumbel",8,"weibull",0.13118152260188,15
"lgumbel",10,"gamma",0.0887973961746657,15
"lgumbel",10,"lgumbel",0.401737986088533,15
"lgumbel",10,"llogis",0.18629226109554,15
"lgumbel",10,"lnorm",0.210792483735312,15
"lgumbel",10,"lnorm_lnorm",0.00423887187544625,15
"lgumbel",10,"weibull",0.108141001030503,15
"lgumbel",16,"gamma",0.041627634072212,15
"lgumbel",16,"lgumbel",0.486240176571669,15
"lgumbel",16,"llogis",0.172391355298922,15
"lgumbel",16,"lnorm",0.194355357441991,15
"lgumbel",16,"lnorm_lnorm",0.0486390129083852,15
"lgumbel",16,"weibull",0.0567464637068197,15
"lgumbel",26,"gamma",0.0123755613063205,15
"lgumbel",26,"lgumbel",0.561128758366103,15
"lgumbel",26,"llogis",0.138318522069461,15
"lgumbel",26,"lnorm",0.158224187358202,15
"lgumbel",26,"lnorm_lnorm",0.11064122279786,15
"lgumbel",26,"weibull",0.0193117481020533,15
"llogis",5,"gamma",0.00643555659258472,5
"llogis",5,"lgumbel",0.00895459445340581,5
"llogis",5,"llogis",0.00483718800421625,5
"llogis",5,"lnorm",0.00490685523661538,5
"llogis",5,"lnorm_lnorm",0.96799999999983,5
"llogis",5,"weibull",0.00686580571334744,5
"llogis",6,"gamma",0.194118527832685,5
"llogis",6,"lgumbel",0.220475900421833,5
"llogis",6,"llogis",0.17679266002219,5
"llogis",6,"lnorm",0.205703690726887,5
"llogis",6,"lnorm_lnorm",0,5
"llogis",6,"weibull",0.202909220996405,5
"llogis",7,"gamma",0.188679003108378,5
"llogis",7,"lgumbel",0.222923016814876,5
"llogis",7,"llogis",0.179786478396583,5
"llogis",7,"lnorm",0.20800760665307,5
"llogis",7,"lnorm_lnorm",7.10723446857501e-12,5
"llogis",7,"weibull",0.200603895019986,5
"llogis",8,"gamma",0.182553022701603,5
"llogis",8,"lgumbel",0.222310340803215,5
"llogis",8,"llogis",0.185180254744204,5
"llogis",8,"lnorm",0.212654744343104,5
"llogis",8,"lnorm_lnorm",1.46785790096442e-05,5
"llogis",8,"weibull",0.197286958828865,5
"llogis",10,"gamma",0.171219631429129,5
"llogis",10,"lgumbel",0.228498182704006,5
"llogis",10,"llogis",0.191238781368347,5
"llogis",10,"lnorm",0.217106916329052,5
"llogis",10,"lnorm_lnorm",0.00281793172569222,5
"llogis",10,"weibull",0.189118556443773,5
"llogis",16,"gamma",0.132103274393164,5
"llogis",16,"lgumbel",0.215046047699069,5
"llogis",16,"llogis",0.219425690581925,5
"llogis",16,"lnorm",0.235996744665016,5
"llogis",16,"lnorm_lnorm",0.0332419522316698,5
"llogis",16,"weibull",0.164186290429156,5
"llogis",26,"gamma",0.0869619152456424,5
"llogis",26,"lgumbel",0.171491596304512,5
"llogis",26,"llogis",0.268835608504943,5
"llogis",26,"lnorm",0.26249602269101,5
"llogis",26,"lnorm_lnorm",0.0784945749421628,5
"llogis",26,"weibull",0.131720282311729,5
"lnorm",5,"gamma",0.00703701317342141,10
"lnorm",5,"lgumbel",0.00916393892904494,10
"lnorm",5,"llogis",0.0049813106043928,10
"lnorm",5,"lnorm",0.00515958966615649,10
"lnorm",5,"lnorm_lnorm",0.966599999999781,10
"lnorm",5,"weibull",0.0070581476272033,10
"lnorm",6,"gamma",0.186382327808912,10
"lnorm",6,"lgumbel",0.230832032397611,10
"lnorm",6,"llogis",0.177209037767595,10
"lnorm",6,"lnorm",0.208873911616691,10
"lnorm",6,"lnorm_lnorm",0,10
"lnorm",6,"weibull",0.19670269040919,10
"lnorm",7,"gamma",0.179141355333003,10
"lnorm",7,"lgumbel",0.233256792534824,10
"lnorm",7,"llogis",0.180181139846508,10
"lnorm",7,"lnorm",0.213998725326801,10
"lnorm",7,"lnorm_lnorm",1.87114860884898e-11,10
"lnorm",7,"weibull",0.193421986940153,10
"lnorm",8,"gamma",0.172365596794169,10
"lnorm",8,"lgumbel",0.235835171656783,10
"lnorm",8,"llogis",0.182834806878813,10
"lnorm",8,"lnorm",0.21847135480672,10
"lnorm",8,"lnorm_lnorm",2.13394801769858e-05,10
"lnorm",8,"weibull",0.190471730383337,10
"lnorm",10,"gamma",0.158641302212565,10
"lnorm",10,"lgumbel",0.233724841961417,10
"lnorm",10,"llogis",0.18995234899938,10
"lnorm",10,"lnorm",0.229563166821111,10
"lnorm",10,"lnorm_lnorm",0.0033441357802218,10
"lnorm",10,"weibull",0.184774204225305,10
