"proportion","nrow","n_sims","coverage","bias_median","bias_q25","bias_q75","width_median"
0.01,5,20500,0.575853658536585,2.0537683763539,0.10816725339494,12.0716425121994,40.7246993537768
0.01,6,20500,0.889756097560976,-0.238370981722155,-0.799226754315677,1.86605252205292,19.851338380263
0.01,7,20500,0.902682926829268,-0.293047202342376,-0.793248131184255,1.4841599819192,15.674977815534
0.01,8,20500,0.915414634146341,-0.317540130802644,-0.781014577683933,1.22821879079299,13.0411026733438
0.01,10,20500,0.927317073170732,-0.320737856480247,-0.748260115529638,0.959572410393749,9.58754278322587
0.01,16,20500,0.940048780487805,-0.226485799048639,-0.642487959539441,0.752672978887621,5.7885809382351
0.01,26,20500,0.941073170731707,-0.126034552977747,-0.520086827388843,0.637861824882741,3.91263854710831
0.05,5,20500,0.606292682926829,0.828077068035862,-0.0784548807825726,3.60083086117396,14.0109122958412
0.05,6,20500,0.881512195121951,0.181217560427355,-0.421011389661006,1.72986208097571,10.1417365098487
0.05,7,20500,0.896487804878049,0.134437855868421,-0.415690520680266,1.45210639325889,8.49346119790332
0.05,8,20500,0.907658536585366,0.0919298057500217,-0.408781410889374,1.27883727537895,7.27610814087481
0.05,10,20500,0.921560975609756,0.0578831835511716,-0.386644339098812,1.00726753353236,5.70285461955047
0.05,16,20500,0.935951219512195,0.0354605333866428,-0.327915295368911,0.697856782545947,3.64443815322974
0.05,26,20500,0.938682926829268,0.0193698581257994,-0.270926728799237,0.48992437309345,2.54412182468321
0.1,5,20500,0.666048780487805,0.397281221953955,-0.219774023737365,1.92772910066768,8.45100123407933
0.1,6,20500,0.875463414634146,0.207984008054995,-0.302369074720864,1.3795032264062,7.25498011063453
0.1,7,20500,0.893170731707317,0.168851834065189,-0.303967060953676,1.15741789788242,6.25750707830421
0.1,8,20500,0.900634146341463,0.13433140827774,-0.300768706191901,1.03628767835066,5.47207200428929
0.1,10,20500,0.914829268292683,0.0988541884516793,-0.283839197962148,0.838498427401878,4.42314341155972
0.1,16,20500,0.930878048780488,0.0569806434086122,-0.248102338992046,0.576491407195025,2.95997027732126
0.1,26,20500,0.93419512195122,0.0292555374648137,-0.215742199277456,0.404029396363789,2.07209460364253
0.2,5,20500,0.78219512195122,0.0510209558804281,-0.402473182261329,0.919220555698878,5.21761769463889
0.2,6,20500,0.869853658536585,0.180878379708025,-0.253742243775802,1.04775132235734,4.9587454556856
0.2,7,20500,0.884878048780488,0.157051745536253,-0.249534754890066,0.911324255791554,4.43949108970859
0.2,8,20500,0.892146341463415,0.127296110006157,-0.245389242814476,0.822031792690097,3.97926603086052
0.2,10,20500,0.905707317073171,0.0981002786867244,-0.235045578807658,0.678579481898958,3.3191526963557
0.2,16,20500,0.918292682926829,0.0587947022650498,-0.205059217132224,0.477351929097816,2.33300107345824
0.2,26,20500,0.928341463414634,0.0339408392482922,-0.178219618419705,0.342669729238566,1.67248441209012
